Abstimmungs_Datum,Stimmbeteiligung_Prozent,Aktualisierungs_Datum
2021-06-13,47.0,2021-06-12
2021-09-26,12.6,2021-09-08
2021-09-26,21.4,2021-09-14
2021-09-26,32.0,2021-09-20
2021-09-26,35.0,2021-09-21
2021-09-26,42.0,2021-09-22
2021-09-26,47.4,2021-09-23
2021-09-26,49.2,2021-09-24
2021-09-26,49.7,2021-09-25
2021-11-28,3.2,2021-11-08
2021-11-28,5.8,2021-11-09
2021-11-28,11.0,2021-11-10
2021-11-28,13.4,2021-11-11
2021-11-28,15.2,2021-11-12
2021-11-28,17.2,2021-11-15
2021-11-28,19.5,2021-11-16
2021-11-28,24.6,2021-11-17
